"Element","Item","Average","R_origin","R_recipients"
"Fat supply quantity (g/capita/day)","Palm oil","12.2663217020162","Africa_Central","Africa_Central"
"Fat supply quantity (g/capita/day)","Sorghum","0.983604517916642","Africa_Central","Africa_Central"
"Fat supply quantity (g/capita/day)","Pulses, other","0.26729307152766","Africa_Central","Africa_Central"
"Fat supply quantity (g/capita/day)","Rice","0.170686244018139","Africa_Central","Africa_Central"
"Fat supply quantity (g/capita/day)","Sesame","1.20009969555739","Africa_East","Africa_Central"
"Fat supply quantity (g/capita/day)","Sorghum","0.983604517916642","Africa_East","Africa_Central"
"Fat supply quantity (g/capita/day)","Cottonseed oil","0.820246106364861","Africa_East","Africa_Central"
"Fat supply quantity (g/capita/day)","Pulses, other","0.26729307152766","Africa_East","Africa_Central"
"Fat supply quantity (g/capita/day)","Millets","0.178930303652035","Africa_East","Africa_Central"
"Fat supply quantity (g/capita/day)","NA","NA","Africa_Indian_Ocean_Islands","Africa_Central"
"Fat supply quantity (g/capita/day)","Sorghum","0.983604517916642","Africa_Southern","Africa_Central"
"Fat supply quantity (g/capita/day)","Cottonseed oil","0.820246106364861","Africa_Southern","Africa_Central"
"Fat supply quantity (g/capita/day)","Pulses, other","0.26729307152766","Africa_Southern","Africa_Central"
"Fat supply quantity (g/capita/day)","Millets","0.178930303652035","Africa_Southern","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil","12.2663217020162","Africa_West","Africa_Central"
"Fat supply quantity (g/capita/day)","Sorghum","0.983604517916642","Africa_West","Africa_Central"
"Fat supply quantity (g/capita/day)","Pulses, other","0.26729307152766","Africa_West","Africa_Central"
"Fat supply quantity (g/capita/day)","Millets","0.178930303652035","Africa_West","Africa_Central"
"Fat supply quantity (g/capita/day)","Rice","0.170686244018139","Africa_West","Africa_Central"
"Fat supply quantity (g/capita/day)","Cottonseed oil","0.820246106364861","America_Caribbean","Africa_Central"
"Fat supply quantity (g/capita/day)","Pimento","0.122845024382653","America_Caribbean","Africa_Central"
"Fat supply quantity (g/capita/day)","Roots, other","0.0629543364192834","America_Caribbean","Africa_Central"
"Fat supply quantity (g/capita/day)","Maize","3.21904579162726","America_Central_and_Mexico","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil","12.2663217020162","America_Central_and_Mexico","Africa_Central"
"Fat supply quantity (g/capita/day)","Cottonseed oil","0.820246106364861","America_Central_and_Mexico","Africa_Central"
"Fat supply quantity (g/capita/day)","Cassava","0.478874059570567","America_Central_and_Mexico","Africa_Central"
"Fat supply quantity (g/capita/day)","Cocoa beans","0.322375220530101","America_Central_and_Mexico","Africa_Central"
"Fat supply quantity (g/capita/day)","Sunflower","0.268046300856416","America_North","Africa_Central"
"Fat supply quantity (g/capita/day)","Beans","0.286961297450575","America_South_andean","Africa_Central"
"Fat supply quantity (g/capita/day)","Tomatoes","0.0852217009534549","America_South_andean","Africa_Central"
"Fat supply quantity (g/capita/day)","Potatoes","0.0388123895793683","America_South_andean","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil","12.2663217020162","America_South_tropical","Africa_Central"
"Fat supply quantity (g/capita/day)","Groundnut","10.3646207070345","America_South_tropical","Africa_Central"
"Fat supply quantity (g/capita/day)","Cottonseed oil","0.820246106364861","America_South_tropical","Africa_Central"
