Item_final,Region,food_group,In_FS_study,In_FS_study_exact,Notes
Alfalfa,Asia_Central,Forages,N,N,CK estimate based on CWR
Alfalfa,Asia_West,Forages,N,N,CK estimate based on CWR
Almonds,Asia_Central,Nuts,N,N,CK estimate based on CWR; GRIN; Prota4U
Almonds,Asia_West,Nuts,N,N,CK estimate based on CWR; GRIN; Prota4U
Anise_badian_fennel_coriander,Asia_East,Spices,N,N,Badian
Anise_badian_fennel_coriander,Asia_Southeast,Spices,N,N,Badian
Anise_badian_fennel_coriander,Asia_West,Spices,N,N,"Anise, coriander"
Anise_badian_fennel_coriander,Europe_Eastern_south,Spices,N,N,"Anise, coriander, fennel"
Anise_badian_fennel_coriander,Europe_Western_south,Spices,N,N,"Anise, coriander, fennel"
Anise_badian_fennel_coriander,Mediterranean_SouthandEast,Spices,N,N,"Anise, coriander, fennel"
Apples,Asia_Central,Fruits,Y,Y,As per Palacios
Apples,Asia_East,Fruits,Y,Y,As per Palacios. M prunifolia likely involved in origin of domestic apple (JW)
Apples,Europe_Eastern_north,Fruits,Y,Y,"As per Palacios, but refined by CK"
Apples,Europe_Eastern_south,Fruits,Y,Y,"As per Palacios, but refined by CK"
Apples,Europe_Western_north,Fruits,Y,Y,"As per Palacios, but refined by CK"
Apples,Europe_Western_south,Fruits,Y,Y,"As per Palacios, but refined by CK"
Apricots,Asia_Central,Fruits,N,N,"Prota4U, GRIN"
Apricots,Asia_East,Fruits,N,N,CK estimate based on CWR; GRIN; Prota4U
Areca_nuts,Asia_South,Oilcrops,N,N,Prota4U
Areca_nuts,Asia_Southeast,Oilcrops,N,N,Prota4U
Artichokes,Europe_Eastern_south,Vegetables,N,N,Prota4U
Artichokes,Europe_Western_south,Vegetables,N,N,Prota4U
Artichokes,Mediterranean_SouthandEast,Vegetables,N,N,Prota4U
Asparagus,Asia_Central,Vegetables,N,N,GRIN
Asparagus,Asia_West,Vegetables,N,N,GRIN
Asparagus,Europe_Eastern_north,Vegetables,N,N,GRIN
Asparagus,Europe_Eastern_south,Vegetables,N,N,CK estimate based on CWR; GRIN  
Asparagus,Europe_Western_north,Vegetables,N,N,GRIN
Asparagus,Europe_Western_south,Vegetables,N,N,CK estimate based on CWR; GRIN  
Asparagus,Mediterranean_SouthandEast,Vegetables,N,N,CK estimate based on CWR; GRIN  
Avocados,America_Central_and_Mexico,Fruits,N,N,Prota4U
Bambara_beans,Africa_East,Pulses,Y,N,as determined from contributing species PNAS (Vigna)
Bambara_beans,Africa_Southern,Pulses,Y,N,as determined from contributing species PNAS (Vigna)
Bananas & plantains,Asia_South,Fruits,Y,Y,As per Palacios
Bananas & plantains,Asia_Southeast,Fruits,Y,Y,As per Palacios
Barley,Asia_Central,Cereals,Y,Y,As per Palacios
Barley,Asia_West,Cereals,Y,Y,As per Palacios
Barley,Mediterranean_SouthandEast,Cereals,Y,Y,As per Palacios
Beans,America_Central_and_Mexico,Pulses,Y,Y,as determined from contributing species PNAS (Phaseolus)
Beans,America_South_andean,Pulses,Y,Y,as determined from contributing species PNAS (Phaseolus)
Beet_sugar,Europe_Eastern_north,Sugarcrops,Y,N,"As per Palacios, but refined by CK"
Beet_sugar,Europe_Eastern_south,Sugarcrops,Y,N,"As per Palacios, but refined by CK"
Beet_sugar,Europe_Western_north,Sugarcrops,Y,N,"As per Palacios, but refined by CK"
Beet_sugar,Europe_Western_south,Sugarcrops,Y,N,"As per Palacios, but refined by CK"
Beet_sugar,Mediterranean_SouthandEast,Sugarcrops,Y,N,As per Palacios
Berries_nes,Not_Specified,Fruits,N,N,
Blueberries,America_North,Fruits,N,N,
Brazil_nuts,America_South_tropical,Nuts,N,N,
Buckwheat,Asia_East,Cereals,N,N,Prota4U; GRIN. Did not include Central Asia as JW found no support for this
Cabbages,Europe_Eastern_south,Vegetables,N,N,CK estimate based on CWR
Cabbages,Europe_Western_south,Vegetables,N,N,CK estimate based on CWR
Cabbages,Mediterranean_SouthandEast,Vegetables,N,N,CK estimate based on CWR
Cabbages,Asia_East,Vegetables,N,N,CK- added as commodity includes 'other Brassicas'
Carob,Europe_Eastern_south,Spices,N,N,GRIN
Carob,Europe_Western_south,Spices,N,N,GRIN
Carob,Mediterranean_SouthandEast,Spices,N,N,GRIN
Carrots & turnips,Asia_Central,Vegetables,N,N,Mansfield Database for turnips originating in Central Asia 
Carrots & turnips,Asia_West,Vegetables,N,N,Mansfield Database for carrots originating in Afghanistan
Carrots & turnips,Europe_Eastern_south,Vegetables,N,N,CK estimate based on CWR carrot 
Carrots & turnips,Europe_Western_south,Vegetables,N,N,CK estimate based on CWR carrot
Carrots & turnips,Mediterranean_SouthandEast,Vegetables,N,N,CK estimate based on CWR carrot
Cashew,America_South_tropical,Nuts,N,N,GRIN
